id	multiplicon	genome	list	first	last	order
6896	3448	atroviride	contig_1	Tatro_000891-T1	Tatro_000891-T1	1
6897	3449	atroviride	contig_9	Tatro_011585-T1	Tatro_011585-T1	0
6898	3449	atroviride	contig_1	Tatro_000891-T1	Tatro_000891-T2	1
6899	3450	atroviride	contig_9	Tatro_011585-T1	Tatro_011585-T1	0
6900	3450	atroviride	contig_1	Tatro_000891-T1	Tatro_000891-T2	1
6901	3451	atroviride	contig_9	Tatro_011585-T1	Tatro_011585-T1	0
6902	3451	atroviride	contig_1	Tatro_000891-T1	Tatro_000891-T2	1
6903	3452	atroviride	contig_9	Tatro_011585-T1	Tatro_011585-T1	0
6904	3452	atroviride	contig_1	Tatro_000891-T1	Tatro_000891-T1	1
6905	3453	atroviride	contig_8	Tatro_011072-T1	Tatro_011072-T1	0
6906	3453	reesei	CP016237.1	mRNA_5493	mRNA_5493	1
6907	3454	atroviride	contig_8	Tatro_011072-T1	Tatro_011072-T1	0
6908	3454	reesei	CP016237.1	mRNA_5493	mRNA_5493	1
6909	3455	atroviride	contig_8	Tatro_010905-T1	Tatro_010905-T1	0
6910	3455	reesei	CP016235.1	mRNA_141	mRNA_141	1
6911	3456	atroviride	contig_8	Tatro_010905-T1	Tatro_010905-T1	0
6912	3456	reesei	CP016235.1	mRNA_141	mRNA_141	1
6913	3457	atroviride	contig_8	Tatro_011435-T1	Tatro_011435-T1	0
6914	3457	reesei	CP016232.1	mRNA_4694	mRNA_4694	1
6915	3458	atroviride	contig_8	Tatro_011328-T1	Tatro_011328-T1	0
6916	3458	reesei	CP016232.1	mRNA_7505	mRNA_7505	1
6917	3459	atroviride	contig_8	Tatro_011328-T1	Tatro_011328-T1	0
6918	3459	reesei	CP016232.1	mRNA_7505	mRNA_7505	1
6919	3460	atroviride	contig_8	Tatro_010905-T1	Tatro_010905-T1	0
6920	3460	atroviride	contig_8	Tatro_010861-T1	Tatro_010861-T1	1
6921	3461	atroviride	contig_8	Tatro_010905-T1	Tatro_010905-T1	0
6922	3461	atroviride	contig_8	Tatro_010861-T1	Tatro_010861-T1	1
6923	3462	atroviride	contig_8	Tatro_011178-T1	Tatro_011178-T1	0
6924	3462	atroviride	contig_7	Tatro_010298-T1	Tatro_010298-T1	1
6925	3463	atroviride	contig_8	Tatro_011178-T1	Tatro_011178-T1	0
6926	3463	atroviride	contig_7	Tatro_010298-T1	Tatro_010298-T1	1
6927	3464	atroviride	contig_8	Tatro_011178-T1	Tatro_011178-T1	0
6928	3464	atroviride	contig_7	Tatro_010298-T1	Tatro_010298-T1	1
6929	3465	atroviride	contig_8	Tatro_011178-T1	Tatro_011178-T1	0
6930	3465	atroviride	contig_6	Tatro_009431-T1	Tatro_009431-T1	1
6931	3466	atroviride	contig_8	Tatro_011178-T1	Tatro_011178-T1	0
6932	3466	atroviride	contig_6	Tatro_009431-T1	Tatro_009431-T1	1
6933	3467	atroviride	contig_8	Tatro_011153-T1	Tatro_011153-T1	0
6934	3467	atroviride	contig_6	Tatro_009150-T1	Tatro_009150-T1	1
6935	3468	atroviride	contig_8	Tatro_011351-T1	Tatro_011351-T1	0
6936	3468	atroviride	contig_5	Tatro_008449-T1	Tatro_008449-T1	1
6937	3469	atroviride	contig_8	Tatro_011351-T1	Tatro_011351-T1	0
6938	3469	atroviride	contig_5	Tatro_008449-T1	Tatro_008449-T1	1
6939	3470	atroviride	contig_8	Tatro_011351-T1	Tatro_011351-T1	0
6940	3470	atroviride	contig_5	Tatro_008449-T1	Tatro_008449-T1	1
6941	3471	atroviride	contig_8	Tatro_011351-T1	Tatro_011351-T1	0
6942	3471	atroviride	contig_5	Tatro_008449-T1	Tatro_008449-T1	1
6943	3472	atroviride	contig_8	Tatro_011351-T1	Tatro_011351-T1	0
6944	3472	atroviride	contig_5	Tatro_008449-T1	Tatro_008449-T1	1
6945	3473	atroviride	contig_8	Tatro_011351-T1	Tatro_011351-T1	0
6946	3473	atroviride	contig_3	Tatro_005316-T1	Tatro_005316-T1	1
6947	3474	atroviride	contig_8	Tatro_011351-T1	Tatro_011351-T1	0
6948	3474	atroviride	contig_3	Tatro_005316-T1	Tatro_005316-T1	1
6949	3475	atroviride	contig_8	Tatro_011351-T1	Tatro_011351-T1	0
6950	3475	atroviride	contig_3	Tatro_005316-T1	Tatro_005316-T1	1
6951	3476	atroviride	contig_8	Tatro_011351-T1	Tatro_011351-T1	0
6952	3476	atroviride	contig_3	Tatro_005316-T1	Tatro_005316-T1	1
6953	3477	atroviride	contig_8	Tatro_011351-T1	Tatro_011351-T1	0
6954	3477	atroviride	contig_3	Tatro_005316-T1	Tatro_005316-T1	1
6955	3478	atroviride	contig_8	Tatro_011351-T1	Tatro_011351-T1	0
6956	3478	atroviride	contig_3	Tatro_005316-T1	Tatro_005316-T1	1
6957	3479	atroviride	contig_8	Tatro_011351-T1	Tatro_011351-T1	0
6958	3479	atroviride	contig_3	Tatro_005316-T1	Tatro_005316-T1	1
6959	3480	atroviride	contig_8	Tatro_011328-T1	Tatro_011328-T1	0
6960	3480	atroviride	contig_3	Tatro_006572-T1	Tatro_006572-T1	1
6961	3481	atroviride	contig_8	Tatro_011328-T1	Tatro_011328-T1	0
6962	3481	atroviride	contig_3	Tatro_006572-T1	Tatro_006572-T1	1
6963	3482	atroviride	contig_8	Tatro_011178-T1	Tatro_011178-T1	0
6964	3482	atroviride	contig_3	Tatro_006400-T1	Tatro_006400-T1	1
6965	3483	atroviride	contig_8	Tatro_011178-T1	Tatro_011178-T1	0
6966	3483	atroviride	contig_3	Tatro_006400-T1	Tatro_006400-T1	1
6967	3484	atroviride	contig_8	Tatro_010905-T1	Tatro_010905-T1	0
6968	3484	atroviride	contig_3	Tatro_006412-T1	Tatro_006412-T1	1
6969	3485	atroviride	contig_8	Tatro_010905-T1	Tatro_010905-T1	0
6970	3485	atroviride	contig_3	Tatro_006412-T1	Tatro_006412-T1	1
6971	3486	atroviride	contig_8	Tatro_010861-T1	Tatro_010861-T1	0
6972	3486	atroviride	contig_3	Tatro_006412-T1	Tatro_006412-T1	1
6973	3487	atroviride	contig_8	Tatro_010861-T1	Tatro_010861-T1	0
6974	3487	atroviride	contig_3	Tatro_006412-T1	Tatro_006412-T1	1
6975	3488	atroviride	contig_8	Tatro_010905-T1	Tatro_010905-T1	0
6976	3488	atroviride	contig_2	Tatro_004639-T1	Tatro_004639-T1	1
6977	3489	atroviride	contig_8	Tatro_010905-T1	Tatro_010905-T1	0
6978	3489	atroviride	contig_2	Tatro_004639-T1	Tatro_004639-T1	1
6979	3490	atroviride	contig_8	Tatro_010861-T1	Tatro_010861-T1	0
6980	3490	atroviride	contig_2	Tatro_004639-T1	Tatro_004639-T1	1
6981	3491	atroviride	contig_8	Tatro_010861-T1	Tatro_010861-T1	0
6982	3491	atroviride	contig_2	Tatro_004639-T1	Tatro_004639-T1	1
6983	3492	atroviride	contig_8	Tatro_011328-T1	Tatro_011328-T1	0
6984	3492	atroviride	contig_1	Tatro_000013-T1	Tatro_000013-T1	1
6985	3493	atroviride	contig_8	Tatro_011328-T1	Tatro_011328-T1	0
6986	3493	atroviride	contig_1	Tatro_000013-T1	Tatro_000013-T1	1
6987	3494	atroviride	contig_8	Tatro_011328-T1	Tatro_011328-T1	0
6988	3494	atroviride	contig_1	Tatro_000013-T1	Tatro_000013-T1	1
6989	3495	atroviride	contig_8	Tatro_011328-T1	Tatro_011328-T1	0
6990	3495	atroviride	contig_1	Tatro_000013-T1	Tatro_000013-T1	1
6991	3496	atroviride	contig_7	Tatro_010221-T1	Tatro_010221-T2	0
6992	3496	reesei	CP016238.1	mRNA_4198	mRNA_4198	1
6993	3497	atroviride	contig_7	Tatro_010221-T1	Tatro_010221-T2	0
6994	3497	reesei	CP016238.1	mRNA_4198	mRNA_4198	1
6995	3498	atroviride	contig_7	Tatro_010221-T1	Tatro_010221-T1	0
6996	3498	reesei	CP016238.1	mRNA_4198	mRNA_4198	1
6997	3499	atroviride	contig_7	Tatro_010221-T1	Tatro_010221-T1	0
6998	3499	reesei	CP016238.1	mRNA_4198	mRNA_4198	1
6999	3500	atroviride	contig_7	Tatro_010221-T1	Tatro_010221-T1	0
7000	3500	reesei	CP016238.1	mRNA_4198	mRNA_4198	1
7001	3501	atroviride	contig_7	Tatro_010221-T1	Tatro_010221-T1	0
7002	3501	reesei	CP016238.1	mRNA_4198	mRNA_4198	1
7003	3502	atroviride	contig_7	Tatro_010528-T1	Tatro_010528-T1	0
7004	3502	reesei	CP016236.1	mRNA_5541	mRNA_5541	1
7005	3503	atroviride	contig_7	Tatro_010528-T1	Tatro_010528-T1	0
7006	3503	reesei	CP016236.1	mRNA_5541	mRNA_5541	1
7007	3504	atroviride	contig_7	Tatro_010523-T1	Tatro_010523-T1	0
7008	3504	reesei	CP016236.1	mRNA_5456	mRNA_5456	1
7009	3505	atroviride	contig_7	Tatro_010523-T1	Tatro_010523-T1	0
7010	3505	reesei	CP016236.1	mRNA_5456	mRNA_5456	1
7011	3506	atroviride	contig_7	Tatro_010221-T1	Tatro_010221-T1	0
7012	3506	reesei	CP016236.1	mRNA_1234	mRNA_1234	1
7013	3507	atroviride	contig_7	Tatro_010433-T1	Tatro_010433-T1	0
7014	3507	reesei	CP016232.1	mRNA_7763	mRNA_7763	1
7015	3508	atroviride	contig_7	Tatro_010433-T1	Tatro_010433-T1	0
7016	3508	reesei	CP016232.1	mRNA_7763	mRNA_7763	1
7017	3509	atroviride	contig_7	Tatro_010298-T1	Tatro_010298-T1	0
7018	3509	atroviride	contig_6	Tatro_009431-T1	Tatro_009431-T1	1
7019	3510	atroviride	contig_7	Tatro_010298-T1	Tatro_010298-T1	0
7020	3510	atroviride	contig_6	Tatro_009431-T1	Tatro_009431-T1	1
7021	3511	atroviride	contig_7	Tatro_010242-T1	Tatro_010242-T1	0
7022	3511	atroviride	contig_6	Tatro_009685-T1	Tatro_009685-T1	1
7023	3512	atroviride	contig_7	Tatro_010242-T1	Tatro_010242-T1	0
7024	3512	atroviride	contig_6	Tatro_009685-T1	Tatro_009685-T1	1
7025	3513	atroviride	contig_7	Tatro_010242-T1	Tatro_010242-T1	0
7026	3513	atroviride	contig_6	Tatro_009685-T1	Tatro_009685-T1	1
7027	3514	atroviride	contig_7	Tatro_010799-T1	Tatro_010799-T1	0
7028	3514	atroviride	contig_4	Tatro_006707-T1	Tatro_006707-T1	1
7029	3515	atroviride	contig_7	Tatro_010799-T1	Tatro_010799-T1	0
7030	3515	atroviride	contig_4	Tatro_006707-T1	Tatro_006707-T1	1
7031	3516	atroviride	contig_7	Tatro_010799-T1	Tatro_010799-T1	0
7032	3516	atroviride	contig_4	Tatro_006707-T1	Tatro_006707-T1	1
7033	3517	atroviride	contig_7	Tatro_010799-T1	Tatro_010799-T1	0
7034	3517	atroviride	contig_4	Tatro_006707-T1	Tatro_006707-T1	1
7035	3518	atroviride	contig_7	Tatro_010799-T1	Tatro_010799-T1	0
7036	3518	atroviride	contig_4	Tatro_006707-T1	Tatro_006707-T1	1
7037	3519	atroviride	contig_7	Tatro_010221-T1	Tatro_010221-T2	0
7038	3519	atroviride	contig_4	Tatro_007154-T1	Tatro_007154-T1	1
7039	3520	atroviride	contig_7	Tatro_010221-T1	Tatro_010221-T1	0
7040	3520	atroviride	contig_4	Tatro_007154-T1	Tatro_007154-T1	1
7041	3521	atroviride	contig_7	Tatro_010799-T1	Tatro_010799-T1	0
7042	3521	atroviride	contig_3	Tatro_005108-T1	Tatro_005108-T1	1
7043	3522	atroviride	contig_7	Tatro_010799-T1	Tatro_010799-T1	0
7044	3522	atroviride	contig_3	Tatro_005108-T1	Tatro_005108-T1	1
7045	3523	atroviride	contig_7	Tatro_010433-T1	Tatro_010433-T1	0
7046	3523	atroviride	contig_3	Tatro_005179-T1	Tatro_005179-T1	1
7047	3524	atroviride	contig_7	Tatro_010298-T1	Tatro_010298-T1	0
7048	3524	atroviride	contig_3	Tatro_006400-T1	Tatro_006400-T1	1
7049	3525	atroviride	contig_7	Tatro_010298-T1	Tatro_010298-T1	0
7050	3525	atroviride	contig_3	Tatro_006400-T1	Tatro_006400-T1	1
7051	3526	atroviride	contig_7	Tatro_010805-T1	Tatro_010805-T1	0
7052	3526	atroviride	contig_2	Tatro_002831-T1	Tatro_002831-T1	1
7053	3527	atroviride	contig_7	Tatro_010799-T1	Tatro_010799-T1	0
7054	3527	atroviride	contig_2	Tatro_004795-T1	Tatro_004795-T1	1
7055	3528	atroviride	contig_7	Tatro_010799-T1	Tatro_010799-T1	0
7056	3528	atroviride	contig_2	Tatro_004795-T1	Tatro_004795-T1	1
7057	3529	atroviride	contig_7	Tatro_010297-T1	Tatro_010297-T1	0
7058	3529	atroviride	contig_2	Tatro_004670-T1	Tatro_004670-T1	1
7059	3530	atroviride	contig_7	Tatro_010433-T1	Tatro_010433-T1	0
7060	3530	atroviride	contig_1	Tatro_000891-T1	Tatro_000891-T1	1
7061	3531	atroviride	contig_6	Tatro_009311-T1	Tatro_009311-T1	0
7062	3531	reesei	CP016238.1	mRNA_7984	mRNA_7984	1
7063	3532	atroviride	contig_6	Tatro_009311-T1	Tatro_009311-T1	0
7064	3532	atroviride	contig_4	Tatro_007526-T1	Tatro_007526-T1	1
7065	3533	atroviride	contig_6	Tatro_009431-T1	Tatro_009431-T1	0
7066	3533	atroviride	contig_3	Tatro_006400-T1	Tatro_006400-T1	1
7067	3534	atroviride	contig_6	Tatro_009431-T1	Tatro_009431-T1	0
7068	3534	atroviride	contig_3	Tatro_006400-T1	Tatro_006400-T1	1
7069	3535	atroviride	contig_6	Tatro_009739-T1	Tatro_009739-T1	0
7070	3535	atroviride	contig_2	Tatro_004548-T1	Tatro_004548-T1	1
7071	3536	atroviride	contig_5	Tatro_008110-T1	Tatro_008110-T1	0
7072	3536	reesei	CP016233.1	mRNA_6790	mRNA_6790	1
7073	3537	atroviride	contig_5	Tatro_008110-T1	Tatro_008110-T1	0
7074	3537	reesei	CP016233.1	mRNA_6790	mRNA_6790	1
7075	3538	atroviride	contig_5	Tatro_008449-T1	Tatro_008449-T1	0
7076	3538	atroviride	contig_3	Tatro_005316-T1	Tatro_005316-T1	1
7077	3539	atroviride	contig_5	Tatro_008449-T1	Tatro_008449-T1	0
7078	3539	atroviride	contig_3	Tatro_005316-T1	Tatro_005316-T1	1
7079	3540	atroviride	contig_5	Tatro_008449-T1	Tatro_008449-T1	0
7080	3540	atroviride	contig_2	Tatro_002986-T1	Tatro_002987-T1	1
7081	3541	atroviride	contig_5	Tatro_008449-T1	Tatro_008449-T1	0
7082	3541	atroviride	contig_2	Tatro_003687-T1	Tatro_003687-T1	1
7083	3542	atroviride	contig_5	Tatro_008449-T1	Tatro_008449-T1	0
7084	3542	atroviride	contig_2	Tatro_003687-T1	Tatro_003687-T1	1
7085	3543	atroviride	contig_5	Tatro_008449-T1	Tatro_008449-T1	0
7086	3543	atroviride	contig_2	Tatro_002986-T1	Tatro_002987-T1	1
7087	3544	atroviride	contig_4	Tatro_007804-T1	Tatro_007804-T1	0
7088	3544	reesei	CP016234.1	mRNA_5813	mRNA_5813	1
7089	3545	atroviride	contig_4	Tatro_007804-T1	Tatro_007804-T1	0
7090	3545	reesei	CP016234.1	mRNA_5813	mRNA_5813	1
7091	3546	atroviride	contig_4	Tatro_007804-T1	Tatro_007804-T1	0
7092	3546	reesei	CP016233.1	mRNA_7167	mRNA_7167	1
7093	3547	atroviride	contig_4	Tatro_007804-T1	Tatro_007804-T1	0
7094	3547	reesei	CP016233.1	mRNA_5401	mRNA_5401	1
7095	3548	atroviride	contig_4	Tatro_007804-T1	Tatro_007804-T1	0
7096	3548	reesei	CP016233.1	mRNA_7167	mRNA_7167	1
7097	3549	atroviride	contig_4	Tatro_007804-T1	Tatro_007804-T1	0
7098	3549	reesei	CP016233.1	mRNA_5401	mRNA_5401	1
7099	3550	atroviride	contig_4	Tatro_007845-T1	Tatro_007845-T1	0
7100	3550	reesei	CP016232.1	mRNA_7505	mRNA_7505	1
7101	3551	atroviride	contig_4	Tatro_007845-T1	Tatro_007845-T1	0
7102	3551	reesei	CP016232.1	mRNA_7505	mRNA_7505	1
7103	3552	atroviride	contig_4	Tatro_007845-T1	Tatro_007845-T1	0
7104	3552	reesei	CP016232.1	mRNA_7505	mRNA_7505	1
7105	3553	atroviride	contig_4	Tatro_007845-T1	Tatro_007845-T1	0
7106	3553	reesei	CP016232.1	mRNA_7505	mRNA_7505	1
7107	3554	atroviride	contig_4	Tatro_007845-T1	Tatro_007845-T1	0
7108	3554	reesei	CP016232.1	mRNA_7505	mRNA_7505	1
7109	3555	atroviride	contig_4	Tatro_007845-T1	Tatro_007845-T1	0
7110	3555	reesei	CP016232.1	mRNA_7505	mRNA_7505	1
7111	3556	atroviride	contig_4	Tatro_007804-T1	Tatro_007804-T1	0
7112	3556	reesei	CP016232.1	mRNA_1415	mRNA_1415	1
7113	3557	atroviride	contig_4	Tatro_007804-T1	Tatro_007804-T1	0
7114	3557	reesei	CP016232.1	mRNA_1415	mRNA_1415	1
7115	3558	atroviride	contig_4	Tatro_007420-T1	Tatro_007420-T1	0
7116	3558	reesei	CP016232.1	mRNA_1545	mRNA_1545	1
7117	3559	atroviride	contig_4	Tatro_007845-T1	Tatro_007845-T1	0
7118	3559	atroviride	contig_3	Tatro_006335-T1	Tatro_006335-T1	1
7119	3560	atroviride	contig_4	Tatro_007845-T1	Tatro_007845-T1	0
7120	3560	atroviride	contig_3	Tatro_006335-T1	Tatro_006335-T1	1
7121	3561	atroviride	contig_4	Tatro_007845-T1	Tatro_007845-T1	0
7122	3561	atroviride	contig_3	Tatro_006335-T1	Tatro_006335-T1	1
7123	3562	atroviride	contig_4	Tatro_007845-T1	Tatro_007845-T1	0
7124	3562	atroviride	contig_3	Tatro_006572-T1	Tatro_006572-T1	1
7125	3563	atroviride	contig_4	Tatro_007845-T1	Tatro_007845-T1	0
7126	3563	atroviride	contig_3	Tatro_006572-T1	Tatro_006572-T1	1
7127	3564	atroviride	contig_4	Tatro_007845-T1	Tatro_007845-T1	0
7128	3564	atroviride	contig_3	Tatro_006335-T1	Tatro_006335-T1	1
7129	3565	atroviride	contig_4	Tatro_007804-T1	Tatro_007804-T1	0
7130	3565	atroviride	contig_3	Tatro_006104-T1	Tatro_006104-T1	1
7131	3566	atroviride	contig_4	Tatro_007804-T1	Tatro_007804-T1	0
7132	3566	atroviride	contig_3	Tatro_006104-T1	Tatro_006104-T1	1
7133	3567	atroviride	contig_4	Tatro_006707-T1	Tatro_006707-T1	0
7134	3567	atroviride	contig_3	Tatro_005108-T1	Tatro_005108-T1	1
7135	3568	atroviride	contig_4	Tatro_006707-T1	Tatro_006707-T1	0
7136	3568	atroviride	contig_3	Tatro_005108-T1	Tatro_005108-T1	1
7137	3569	atroviride	contig_4	Tatro_006707-T1	Tatro_006707-T1	0
7138	3569	atroviride	contig_3	Tatro_005108-T1	Tatro_005108-T1	1
7139	3570	atroviride	contig_4	Tatro_006707-T1	Tatro_006707-T1	0
7140	3570	atroviride	contig_3	Tatro_005108-T1	Tatro_005108-T1	1
7141	3571	atroviride	contig_4	Tatro_006707-T1	Tatro_006707-T1	0
7142	3571	atroviride	contig_3	Tatro_005108-T1	Tatro_005108-T1	1
7143	3572	atroviride	contig_4	Tatro_007804-T1	Tatro_007804-T1	0
7144	3572	atroviride	contig_2	Tatro_003890-T1	Tatro_003890-T1	1
7145	3573	atroviride	contig_4	Tatro_007804-T1	Tatro_007804-T1	0
7146	3573	atroviride	contig_2	Tatro_003890-T1	Tatro_003890-T1	1
7147	3574	atroviride	contig_4	Tatro_006707-T1	Tatro_006707-T1	0
7148	3574	atroviride	contig_2	Tatro_004795-T1	Tatro_004795-T1	1
7149	3575	atroviride	contig_4	Tatro_006707-T1	Tatro_006707-T1	0
7150	3575	atroviride	contig_2	Tatro_004795-T1	Tatro_004795-T1	1
7151	3576	atroviride	contig_4	Tatro_006707-T1	Tatro_006707-T1	0
7152	3576	atroviride	contig_2	Tatro_004795-T1	Tatro_004795-T1	1
7153	3577	atroviride	contig_4	Tatro_007845-T1	Tatro_007845-T1	0
7154	3577	atroviride	contig_1	Tatro_000013-T1	Tatro_000013-T1	1
7155	3578	atroviride	contig_4	Tatro_007804-T1	Tatro_007804-T1	0
7156	3578	atroviride	contig_1	Tatro_000881-T1	Tatro_000881-T1	1
7157	3579	atroviride	contig_4	Tatro_007804-T1	Tatro_007804-T1	0
7158	3579	atroviride	contig_1	Tatro_000881-T1	Tatro_000881-T1	1
7159	3580	atroviride	contig_4	Tatro_007426-T1	Tatro_007426-T1	0
7160	3580	atroviride	contig_1	Tatro_001201-T1	Tatro_001201-T1	1
7161	3581	atroviride	contig_3	Tatro_006335-T1	Tatro_006335-T1	0
7162	3581	reesei	CP016232.1	mRNA_7505	mRNA_7505	1
7163	3582	atroviride	contig_3	Tatro_006335-T1	Tatro_006335-T1	0
7164	3582	reesei	CP016232.1	mRNA_7505	mRNA_7505	1
7165	3583	atroviride	contig_3	Tatro_006104-T1	Tatro_006104-T1	0
7166	3583	reesei	CP016232.1	mRNA_1415	mRNA_1415	1
7167	3584	atroviride	contig_3	Tatro_005832-T1	Tatro_005832-T1	0
7168	3584	reesei	CP016232.1	mRNA_3735	mRNA_3735	1
7169	3585	atroviride	contig_3	Tatro_005832-T1	Tatro_005832-T1	0
7170	3585	reesei	CP016232.1	mRNA_3735	mRNA_3735	1
7171	3586	atroviride	contig_3	Tatro_005832-T1	Tatro_005832-T1	0
7172	3586	reesei	CP016232.1	mRNA_3735	mRNA_3735	1
7173	3587	atroviride	contig_3	Tatro_005680-T1	Tatro_005680-T1	0
7174	3587	reesei	CP016232.1	mRNA_5876	mRNA_5876	1
7175	3588	atroviride	contig_3	Tatro_005680-T1	Tatro_005680-T1	0
7176	3588	reesei	CP016232.1	mRNA_5876	mRNA_5876	1
7177	3589	atroviride	contig_3	Tatro_005170-T1	Tatro_005170-T1	0
7178	3589	reesei	CP016232.1	mRNA_7694	mRNA_7694	1
7179	3590	atroviride	contig_3	Tatro_006572-T1	Tatro_006572-T1	0
7180	3590	atroviride	contig_3	Tatro_006335-T1	Tatro_006335-T1	1
7181	3591	atroviride	contig_3	Tatro_006572-T1	Tatro_006572-T1	0
7182	3591	atroviride	contig_3	Tatro_006335-T1	Tatro_006335-T1	1
7183	3592	atroviride	contig_3	Tatro_006338-T1	Tatro_006338-T1	0
7184	3592	atroviride	contig_2	Tatro_004670-T1	Tatro_004670-T1	1
7185	3593	atroviride	contig_3	Tatro_006104-T1	Tatro_006104-T1	0
7186	3593	atroviride	contig_2	Tatro_003890-T1	Tatro_003890-T1	1
7187	3594	atroviride	contig_3	Tatro_006104-T1	Tatro_006104-T1	0
7188	3594	atroviride	contig_2	Tatro_003890-T1	Tatro_003890-T1	1
7189	3595	atroviride	contig_3	Tatro_005886-T1	Tatro_005886-T1	0
7190	3595	atroviride	contig_2	Tatro_004761-T1	Tatro_004761-T1	1
7191	3596	atroviride	contig_3	Tatro_005886-T1	Tatro_005886-T1	0
7192	3596	atroviride	contig_2	Tatro_004761-T1	Tatro_004761-T1	1
7193	3597	atroviride	contig_3	Tatro_005316-T1	Tatro_005316-T1	0
7194	3597	atroviride	contig_2	Tatro_003687-T1	Tatro_003687-T1	1
7195	3598	atroviride	contig_3	Tatro_005316-T1	Tatro_005316-T1	0
7196	3598	atroviride	contig_2	Tatro_003687-T1	Tatro_003687-T1	1
7197	3599	atroviride	contig_3	Tatro_005316-T1	Tatro_005316-T1	0
7198	3599	atroviride	contig_2	Tatro_002986-T1	Tatro_002987-T1	1
7199	3600	atroviride	contig_3	Tatro_005316-T1	Tatro_005316-T1	0
7200	3600	atroviride	contig_2	Tatro_003687-T1	Tatro_003687-T1	1
7201	3601	atroviride	contig_3	Tatro_005108-T1	Tatro_005108-T1	0
7202	3601	atroviride	contig_2	Tatro_004795-T1	Tatro_004795-T1	1
7203	3602	atroviride	contig_3	Tatro_005108-T1	Tatro_005108-T1	0
7204	3602	atroviride	contig_2	Tatro_004795-T1	Tatro_004795-T1	1
7205	3603	atroviride	contig_3	Tatro_006572-T1	Tatro_006572-T1	0
7206	3603	atroviride	contig_1	Tatro_000013-T1	Tatro_000013-T1	1
7207	3604	atroviride	contig_3	Tatro_006572-T1	Tatro_006572-T1	0
7208	3604	atroviride	contig_1	Tatro_000013-T1	Tatro_000013-T1	1
7209	3605	atroviride	contig_3	Tatro_006335-T1	Tatro_006335-T1	0
7210	3605	atroviride	contig_1	Tatro_000013-T1	Tatro_000013-T1	1
7211	3606	atroviride	contig_3	Tatro_006335-T1	Tatro_006335-T1	0
7212	3606	atroviride	contig_1	Tatro_000013-T1	Tatro_000013-T1	1
7213	3607	atroviride	contig_3	Tatro_006335-T1	Tatro_006335-T1	0
7214	3607	atroviride	contig_1	Tatro_000013-T1	Tatro_000013-T1	1
7215	3608	atroviride	contig_3	Tatro_006335-T1	Tatro_006335-T1	0
7216	3608	atroviride	contig_1	Tatro_000013-T1	Tatro_000013-T1	1
7217	3609	atroviride	contig_3	Tatro_006104-T1	Tatro_006104-T1	0
7218	3609	atroviride	contig_1	Tatro_000881-T1	Tatro_000881-T1	1
7219	3610	atroviride	contig_3	Tatro_006104-T1	Tatro_006104-T1	0
7220	3610	atroviride	contig_1	Tatro_000881-T1	Tatro_000881-T1	1
7221	3611	atroviride	contig_3	Tatro_005179-T1	Tatro_005179-T1	0
7222	3611	atroviride	contig_1	Tatro_000891-T1	Tatro_000891-T2	1
7223	3612	atroviride	contig_2	Tatro_003890-T1	Tatro_003890-T1	0
7224	3612	reesei	CP016232.1	mRNA_1415	mRNA_1415	1
7225	3613	atroviride	contig_2	Tatro_003890-T1	Tatro_003890-T1	0
7226	3613	reesei	CP016232.1	mRNA_1415	mRNA_1415	1
7227	3614	atroviride	contig_2	Tatro_002984-T1	Tatro_002985-T1	0
7228	3614	reesei	CP016232.1	mRNA_3623	mRNA_3609	1
7229	3615	atroviride	contig_2	Tatro_003890-T1	Tatro_003890-T1	0
7230	3615	atroviride	contig_1	Tatro_000881-T1	Tatro_000881-T1	1
7231	3616	atroviride	contig_2	Tatro_003890-T1	Tatro_003890-T1	0
7232	3616	atroviride	contig_1	Tatro_000881-T1	Tatro_000881-T1	1
7233	3617	atroviride	contig_1	Tatro_000891-T1	Tatro_000891-T2	0
7234	3617	reesei	CP016232.1	mRNA_7763	mRNA_7763	1
7235	3618	atroviride	contig_1	Tatro_000891-T1	Tatro_000891-T1	0
7236	3618	reesei	CP016232.1	mRNA_7763	mRNA_7763	1
7237	3619	atroviride	contig_1	Tatro_000881-T1	Tatro_000881-T1	0
7238	3619	reesei	CP016232.1	mRNA_1415	mRNA_1415	1
7239	3620	atroviride	contig_1	Tatro_000881-T1	Tatro_000881-T1	0
7240	3620	reesei	CP016232.1	mRNA_1415	mRNA_1415	1
7241	3621	atroviride	contig_1	Tatro_000289-T1	Tatro_000289-T1	0
7242	3621	reesei	CP016232.1	mRNA_6194	mRNA_6194	1
7243	3622	atroviride	contig_1	Tatro_000289-T1	Tatro_000289-T1	0
7244	3622	reesei	CP016232.1	mRNA_6194	mRNA_6194	1
7245	3623	atroviride	contig_1	Tatro_000013-T1	Tatro_000013-T1	0
7246	3623	reesei	CP016232.1	mRNA_7505	mRNA_7505	1
7247	3624	atroviride	contig_1	Tatro_000013-T1	Tatro_000013-T1	0
7248	3624	reesei	CP016232.1	mRNA_7505	mRNA_7505	1
7249	3625	atroviride	contig_1	Tatro_000013-T1	Tatro_000013-T1	0
7250	3625	reesei	CP016232.1	mRNA_7505	mRNA_7505	1
7251	3626	atroviride	contig_1	Tatro_000013-T1	Tatro_000013-T1	0
7252	3626	reesei	CP016232.1	mRNA_7505	mRNA_7505	1
